mu_bp_per_gen,p_HGT_thyA_per_div,p_HGT_dapA_per_div,V_reactor_L,rho_max_per_L,g_per_day,T_days,L_target_bp,N_total_cells,G_total_generations,p_combined_per_div,P_escape_30d
8.404871e-09,1.450212e-12,3.138773e-12,1.216088e+01,6.341785e+09,5.462462e+00,3.302833e+01,3.539787e+02,7.712171e+10,1.804160e+02,1.354252e-29,1.884305e-16
3.191119e-09,7.067812e-12,3.716611e-13,1.373160e+01,5.360481e+09,5.041171e+00,1.820010e+01,4.318529e+02,7.360801e+10,9.174984e+01,3.620019e-30,2.444788e-17
4.470650e-09,5.070672e-11,5.086335e-12,8.462431e+02,3.909395e+09,5.861936e+00,3.404966e+01,7.485028e+02,3.308298e+12,1.995969e+02,8.630471e-28,5.698925e-13
5.995210e-09,3.331272e-14,1.430697e-13,8.284847e+01,3.360554e+08,7.088426e+00,4.400797e+01,5.513458e+02,2.784168e+10,3.119472e+02,1.575383e-32,1.368241e-19
9.009802e-09,1.475122e-11,2.770761e-14,5.639085e+01,1.409770e+08,2.227436e+00,3.074833e+01,6.033621e+02,7.949813e+09,6.848995e+01,2.221879e-30,1.209773e-18
4.568189e-10,1.228168e-11,1.391375e-12,1.221914e+02,3.198930e+08,2.304163e+00,2.065528e+01,5.296772e+02,3.908818e+10,4.759313e+01,4.134826e-30,7.692137e-18
8.853635e-09,1.293957e-14,5.163307e-13,6.647305e+03,7.929851e+08,3.450892e+00,1.545103e+01,3.848068e+02,5.271214e+12,5.331983e+01,2.276210e-32,6.397521e-18
2.823948e-10,2.712773e-14,4.820094e-11,7.817074e+02,4.517369e+08,2.813193e+00,2.567698e+01,9.461857e+02,3.531261e+11,7.223430e+01,3.493831e-31,8.912001e-18
8.064774e-10,6.197295e-12,4.099684e-14,2.663351e+03,3.293446e+08,2.242111e+00,1.973167e+01,4.808028e+02,8.771604e+11,4.424059e+01,9.851714e-32,3.823066e-18
8.560097e-09,9.240934e-12,5.312691e-13,6.064600e+03,8.716290e+08,5.498821e+00,3.428158e+01,3.187779e+02,5.286081e+12,1.885083e+02,1.339668e-29,1.334940e-14
1.210499e-10,7.023519e-11,6.064491e-11,4.912716e+03,6.624408e+09,5.514945e+00,3.084220e+01,7.841402e+02,3.254384e+13,1.700930e+02,4.043033e-28,2.238013e-12
2.844102e-09,1.650391e-14,8.239261e-13,2.952855e+02,3.447659e+08,4.152898e+00,1.835288e+01,4.410621e+02,1.018044e+11,7.621761e+01,1.705769e-32,1.323555e-19
9.862387e-09,5.002532e-14,2.022643e-14,2.921952e+01,5.696418e+08,3.129322e+00,3.083408e+01,8.658076e+02,1.664466e+10,9.648979e+01,8.639976e-33,1.387614e-20
1.392955e-09,1.097717e-13,2.126641e-11,2.573041e+01,2.342183e+08,3.528688e+00,1.723642e+01,3.344983e+02,6.026534e+09,6.082194e+01,1.087716e-30,3.986974e-19
2.364494e-10,5.531314e-13,3.447960e-14,1.585264e+01,3.439109e+08,6.956215e+00,3.405589e+01,4.962089e+02,5.451898e+09,2.369001e+02,2.237656e-33,2.890057e-21
